member_id,dept_id,closure_start,novelty_pre_mean,novelty_pre_selected_for_heterogeneity,novelty_pre_high,novelty_pre_group,novelty_pre_split_rule,novelty_pre_threshold_low,novelty_pre_threshold_high
117965,46,2021-08-04,0.16666666666666666,1,0,baseline,median_full_sample,0.5,0.5
118485,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
118994,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
119424,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
122189,46,2021-08-04,0.16666666666666666,1,0,baseline,median_full_sample,0.5,0.5
122359,46,2021-08-04,0.8333333333333334,1,1,high,median_full_sample,0.5,0.5
124158,46,2021-08-04,0.7625,1,1,high,median_full_sample,0.5,0.5
125262,46,2021-08-04,0.75,1,1,high,median_full_sample,0.5,0.5
125872,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
126494,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
129501,46,2021-08-04,0.15,1,0,baseline,median_full_sample,0.5,0.5
129508,46,2021-08-04,0.5166666666666667,1,1,high,median_full_sample,0.5,0.5
131362,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
132573,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
132779,46,2021-08-04,0.16666666666666666,1,0,baseline,median_full_sample,0.5,0.5
133232,46,2021-08-04,0.5416666666666666,1,1,high,median_full_sample,0.5,0.5
133431,46,2021-08-04,0.20833333333333331,1,0,baseline,median_full_sample,0.5,0.5
133523,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
133862,46,2021-08-04,0.47023809523809523,1,0,baseline,median_full_sample,0.5,0.5
134094,46,2021-08-04,0.8333333333333334,1,1,high,median_full_sample,0.5,0.5
134608,46,2021-08-04,0.4107142857142857,1,0,baseline,median_full_sample,0.5,0.5
134667,46,2021-08-04,0.3208333333333333,1,0,baseline,median_full_sample,0.5,0.5
135250,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
138807,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
139119,46,2021-08-04,0.26666666666666666,1,0,baseline,median_full_sample,0.5,0.5
140726,46,2021-08-04,0.65,1,1,high,median_full_sample,0.5,0.5
140827,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
140924,46,2021-08-04,0.875,1,1,high,median_full_sample,0.5,0.5
141497,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
141525,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
141659,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
142343,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
143022,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
144140,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
144263,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
145873,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
146371,46,2021-08-04,0.08333333333333333,1,0,baseline,median_full_sample,0.5,0.5
147333,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
147859,46,2021-08-04,0.7222222222222222,1,1,high,median_full_sample,0.5,0.5
148196,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
149178,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
152334,46,2021-08-04,0.125,1,0,baseline,median_full_sample,0.5,0.5
152771,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
153738,46,2021-08-04,0.16666666666666666,1,0,baseline,median_full_sample,0.5,0.5
154030,46,2021-08-04,0.14583333333333331,1,0,baseline,median_full_sample,0.5,0.5
155892,46,2021-08-04,0.30833333333333335,1,0,baseline,median_full_sample,0.5,0.5
155934,46,2021-08-04,0.9166666666666666,1,1,high,median_full_sample,0.5,0.5
156570,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
156631,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
158023,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
159766,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
160759,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
160811,46,2021-08-04,0.2222222222222222,1,0,baseline,median_full_sample,0.5,0.5
161023,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
162842,46,2021-08-04,0.125,1,0,baseline,median_full_sample,0.5,0.5
164827,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
164920,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
166083,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
166163,46,2021-08-04,0.75,1,1,high,median_full_sample,0.5,0.5
166912,46,2021-08-04,0.08333333333333333,1,0,baseline,median_full_sample,0.5,0.5
168601,46,2021-08-04,0.1111111111111111,1,0,baseline,median_full_sample,0.5,0.5
168960,46,2021-08-04,0.611111111111111,1,1,high,median_full_sample,0.5,0.5
169183,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
169232,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
170449,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
170608,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
171077,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
171362,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
172179,46,2021-08-04,0.375,1,0,baseline,median_full_sample,0.5,0.5
174173,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
175174,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
177354,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
177800,46,2021-08-04,0.5791666666666666,1,1,high,median_full_sample,0.5,0.5
179373,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
182100,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
184022,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
184325,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
184731,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
186042,46,2021-08-04,0.75,1,1,high,median_full_sample,0.5,0.5
186729,46,2021-08-04,0.41666666666666663,1,0,baseline,median_full_sample,0.5,0.5
187838,46,2021-08-04,0.38888888888888884,1,0,baseline,median_full_sample,0.5,0.5
188900,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
190474,46,2021-08-04,0.3,1,0,baseline,median_full_sample,0.5,0.5
192271,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
192671,46,2021-08-04,0.6666666666666666,1,1,high,median_full_sample,0.5,0.5
192983,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
193792,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
194464,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
194841,46,2021-08-04,0.41666666666666663,1,0,baseline,median_full_sample,0.5,0.5
194895,46,2021-08-04,0.4666666666666667,1,0,baseline,median_full_sample,0.5,0.5
195517,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
196646,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
198219,46,2021-08-04,0.7999999999999999,1,1,high,median_full_sample,0.5,0.5
199081,46,2021-08-04,0.125,1,0,baseline,median_full_sample,0.5,0.5
200054,46,2021-08-04,0.41666666666666663,1,0,baseline,median_full_sample,0.5,0.5
200067,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
200587,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
202384,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
203847,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
204221,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
204865,46,2021-08-04,0.75,1,1,high,median_full_sample,0.5,0.5
205056,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
205335,46,2021-08-04,0.6875,1,1,high,median_full_sample,0.5,0.5
208168,46,2021-08-04,0.8333333333333334,1,1,high,median_full_sample,0.5,0.5
209771,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
213765,46,2021-08-04,0.125,1,0,baseline,median_full_sample,0.5,0.5
