avg_order_value,total_spend,n_orders,avg_basket_size,unique_stores,coupon_usage_rate,avg_discount,weeks_active,order_per_week,push_group,active_period_num,avg_days_from_push,same_day_wakeup,used_deeper_discount,member_id,period_type
28.0,56.0,2,1.0,2,1.0,0.225,2.5714285714285716,0.7777777777777777,0,1,0.0,0,0,,active
29.0,29.0,1,1.0,1,0.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
58.0,58.0,1,2.0,1,1.0,0.3,1.0,1.0,0,1,0.0,0,0,,active
59.0,59.0,1,2.0,1,0.0,0.55,1.0,1.0,0,1,0.0,0,0,,active
31.0,31.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
133.5,267.0,2,4.5,1,0.5,0.225,1.0,2.0,0,1,0.0,0,0,,active
34.333333333333336,103.0,3,1.3333333333333333,1,0.0,0.016666666666666666,1.5714285714285714,1.9090909090909092,0,1,0.0,0,0,,active
31.0,31.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,1.0,0.2,1.0,1.0,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,1.0,0.25,1.0,1.0,0,1,0.0,0,0,,active
34.21818181818182,1882.0,55,1.1818181818181819,1,0.4727272727272727,0.27636363636363637,22.142857142857142,2.4838709677419355,0,1,0.0,0,0,,active
22.0,22.0,1,1.0,1,0.0,0.3,1.0,1.0,0,1,0.0,0,0,,active
28.0,28.0,1,1.0,1,1.0,0.2,1.0,1.0,0,2,2.0,0,0,22147.0,active
28.0,28.0,1,1.0,1,0.0,0.2,1.0,1.0,0,2,0.0,1,0,39126.0,active
32.5,65.0,2,1.0,1,1.0,0.2,3.0,0.6666666666666666,0,2,6.0,0,0,46834.0,active
24.6,246.0,10,0.9,1,0.8,0.22000000000000003,4.714285714285714,2.121212121212121,0,2,5.0,0,0,54491.0,active
28.6,143.0,5,1.0,2,1.0,0.25,8.428571428571429,0.5932203389830508,0,2,11.0,0,0,59448.0,active
32.0,32.0,1,1.0,1,0.0,0.15,1.0,1.0,0,2,0.0,1,0,73926.0,active
61.75,494.0,8,2.0,5,1.0,0.25625,10.428571428571429,0.7671232876712328,0,2,3.0,0,0,75422.0,active
44.0,396.0,9,1.3333333333333333,1,0.0,0.2833333333333333,3.857142857142857,2.3333333333333335,0,2,6.0,0,0,82494.0,active
29.0,58.0,2,1.0,2,0.5,0.3,1.0,2.0,0,2,0.0,1,0,83659.0,active
35.705882352941174,607.0,17,1.1176470588235294,3,0.8235294117647058,0.25882352941176473,22.0,0.7727272727272727,0,2,2.0,0,0,90047.0,active
116.0,116.0,1,4.0,1,1.0,0.25,1.0,1.0,0,2,6.0,0,0,99591.0,active
28.0,28.0,1,1.0,1,1.0,0.2,1.0,1.0,0,2,0.0,1,0,108479.0,active
32.0,64.0,2,1.0,2,0.5,0.3,3.857142857142857,0.5185185185185185,0,2,1.0,0,0,123630.0,active
115.0,115.0,1,4.0,1,1.0,0.25,1.0,1.0,0,2,6.0,0,0,123955.0,active
