dept_id,closure_start,closure_end,closure_duration_days,window_days,#treatment,#control,treatment_purchase_rate_during,control_purchase_rate_during,selectivity_ratio,latitude,longitude,address
121,2021-08-03,2021-08-20,18,28,218,52090,0.013761467889908258,0.27081973507391055,0.05081412507161842,31.95711371562584,118.84986716404416,江宁区竹山路68号江宁万达百货商场一层
59,2021-08-03,2021-08-19,17,28,446,52090,0.026905829596412557,0.2615281244000768,0.10287929704742936,31.9364043741298,118.82563600172637,江宁区双龙大道1698号南京景枫L1层10号
220,2021-08-03,2021-08-12,10,28,619,52090,0.014539579967689823,0.18984449990401228,0.07658678536929547,31.958318700193743,118.84480386503716,江宁区上元大街327号凤凰创客空间大厦一层105室
196,2021-08-03,2021-08-20,18,28,299,52090,0.03678929765886288,0.27081973507391055,0.1358442273375039,,,
182,2021-08-03,2021-08-20,18,28,299,52090,0.020066889632107024,0.27081973507391055,0.07409685127500211,31.944076987883264,118.85011698280648,江宁区东山街道潭园西路199号二层A-2F-C04
189,2021-08-03,2021-08-12,10,28,224,52090,0.008928571428571428,0.18984449990401228,0.04703097236467648,31.97236804164075,118.86505643225128,江宁区宏运大道4597号景祥大厦底商
46,2021-08-04,2021-08-19,16,28,349,52200,0.022922636103151862,0.2541187739463602,0.09020441798601787,31.93814419192112,118.82717731432038,江宁区双龙大道1688号江宁金鹰购物中心负一层AB1-00378室
62,2021-08-04,2021-08-17,14,28,242,52200,0.045454545454545456,0.23157088122605363,0.1962878286505024,31.950244163877503,118.80796669166727,江宁区胜太西路62号纳科汽车生活广场B楼一层
3,2021-08-09,2021-08-22,14,28,1194,52740,0.005025125628140704,0.24080394387561624,0.020868120128200055,,,
5,2021-08-18,2021-08-31,14,28,342,53742,0.02046783625730994,0.26376018756280006,0.07760017327268788,32.075200167867,118.64618097101476,浦口区江浦街道龙华路8号金盛田广场二层
131,2021-08-29,2021-09-08,11,28,460,55090,0.02391304347826087,0.24165910328553278,0.09895362166434246,31.994035145362467,118.73714635136332,建邺区河西大街71号明基医院门诊楼一层大堂左侧
165,2021-11-10,2021-11-21,12,28,111,65527,0.009009009009009009,0.2374593678941505,0.03793916023993145,32.20747281175262,118.75498220726392,六合区大厂卸甲甸幸福路8号新办公大楼一层大堂
