treatment_dept_id,closure_start,closure_end,closure_duration_days,closure_event_id,control_dept_id,pre_start,pre_end,during_start,during_end,n_products_pre,n_products_during,n_introduced_during,introduced_product_ids,introduced_product_names
246,2021-07-27,2021-08-08,13,dept_246_closure_2021-07-27,250,2021-07-14,2021-07-26,2021-07-27,2021-08-08,0,0,0,,
246,2021-07-27,2021-08-08,13,dept_246_closure_2021-07-27,260,2021-07-14,2021-07-26,2021-07-27,2021-08-08,0,0,0,,
133,2021-07-28,2021-08-22,26,dept_133_closure_2021-07-28,129,2021-07-02,2021-07-27,2021-07-28,2021-08-22,92,90,15,22|79|90|125|130|132|140|164|181|193|217|236|244|255|260,冰萃咖啡_1|抹茶慕斯拿铁|拿铁_18|满杯杨梅|满杯葡萄_0|满杯车厘子|燕麦拿铁_0|瑞纳冰_15|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|茉莉抹抹茶|葡萄很好喝_0|阿华田厚乳_1|鸳鸯拿铁_2
133,2021-07-28,2021-08-22,26,dept_133_closure_2021-07-28,132,2021-07-02,2021-07-27,2021-07-28,2021-08-22,89,93,11,22|90|130|164|181|193|217|236|244|255|260,冰萃咖啡_1|拿铁_18|满杯葡萄_0|瑞纳冰_15|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|茉莉抹抹茶|葡萄很好喝_0|阿华田厚乳_1|鸳鸯拿铁_2
133,2021-07-28,2021-08-22,26,dept_133_closure_2021-07-28,135,2021-07-02,2021-07-27,2021-07-28,2021-08-22,87,68,11,22|72|90|92|93|130|140|143|164|193|217,冰萃咖啡_1|巧克力_0|拿铁_18|拿铁_20|拿铁_21|满杯葡萄_0|燕麦拿铁_0|燕麦拿铁_3|瑞纳冰_15|生椰拿铁_6|胶原酸奶冻_2
133,2021-07-28,2021-08-22,26,dept_133_closure_2021-07-28,137,2021-07-02,2021-07-27,2021-07-28,2021-08-22,94,96,11,22|79|90|130|164|181|193|217|236|244|260,冰萃咖啡_1|抹茶慕斯拿铁|拿铁_18|满杯葡萄_0|瑞纳冰_15|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|茉莉抹抹茶|葡萄很好喝_0|鸳鸯拿铁_2
133,2021-07-28,2021-08-22,26,dept_133_closure_2021-07-28,143,2021-07-02,2021-07-27,2021-07-28,2021-08-22,73,69,13,22|90|106|130|132|155|164|193|195|216|217|231|244,冰萃咖啡_1|拿铁_18|杨枝甘露_5|满杯葡萄_0|满杯车厘子|牛油果椰子冻|瑞纳冰_15|生椰拿铁_6|生椰胶原冻_0|胶原酸奶冻_1|胶原酸奶冻_2|芒果好喝椰|葡萄很好喝_0
47,2021-07-30,2021-08-10,12,dept_47_closure_2021-07-30,42,2021-07-18,2021-07-29,2021-07-30,2021-08-10,84,78,11,22|72|75|90|130|140|164|179|217|244|260,冰萃咖啡_1|巧克力_0|抹茶厚乳_0|拿铁_18|满杯葡萄_0|燕麦拿铁_0|瑞纳冰_15|瑞纳冰_7|胶原酸奶冻_2|葡萄很好喝_0|鸳鸯拿铁_2
47,2021-07-30,2021-08-10,12,dept_47_closure_2021-07-30,48,2021-07-18,2021-07-29,2021-07-30,2021-08-10,82,79,8,22|69|90|130|132|164|244|260,冰萃咖啡_1|工夫厚乳|拿铁_18|满杯葡萄_0|满杯车厘子|瑞纳冰_15|葡萄很好喝_0|鸳鸯拿铁_2
47,2021-07-30,2021-08-10,12,dept_47_closure_2021-07-30,49,2021-07-18,2021-07-29,2021-07-30,2021-08-10,79,81,12,22|90|130|140|148|158|162|164|217|244|260|265,冰萃咖啡_1|拿铁_18|满杯葡萄_0|燕麦拿铁_0|燕麦拿铁_8|瑞纳冰_1|瑞纳冰_13|瑞纳冰_15|胶原酸奶冻_2|葡萄很好喝_0|鸳鸯拿铁_2|黑糖拿铁
47,2021-07-30,2021-08-10,12,dept_47_closure_2021-07-30,67,2021-07-18,2021-07-29,2021-07-30,2021-08-10,82,85,9,22|90|93|130|132|140|164|217|260,冰萃咖啡_1|拿铁_18|拿铁_21|满杯葡萄_0|满杯车厘子|燕麦拿铁_0|瑞纳冰_15|胶原酸奶冻_2|鸳鸯拿铁_2
47,2021-07-30,2021-08-10,12,dept_47_closure_2021-07-30,231,2021-07-18,2021-07-29,2021-07-30,2021-08-10,80,82,10,22|27|75|90|130|164|205|217|244|260,冰萃咖啡_1|加浓美式_0|抹茶厚乳_0|拿铁_18|满杯葡萄_0|瑞纳冰_15|纯牛奶_1|胶原酸奶冻_2|葡萄很好喝_0|鸳鸯拿铁_2
59,2021-08-03,2021-08-19,17,dept_59_closure_2021-08-03,77,2021-07-17,2021-08-02,2021-08-03,2021-08-19,83,91,8,72|90|92|130|179|193|236|244,巧克力_0|拿铁_18|拿铁_20|满杯葡萄_0|瑞纳冰_7|生椰拿铁_6|茉莉抹抹茶|葡萄很好喝_0
59,2021-08-03,2021-08-19,17,dept_59_closure_2021-08-03,80,2021-07-17,2021-08-02,2021-08-03,2021-08-19,91,92,9,130|133|140|158|181|193|217|236|255,满杯葡萄_0|澳洲燕麦奶|燕麦拿铁_0|瑞纳冰_1|瑞纳冰_9|生椰拿铁_6|胶原酸奶冻_2|茉莉抹抹茶|阿华田厚乳_1
