treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
0,"0|(10846.0, 14461.0]|(3616.0, 7231.0]|(7231.0, 10846.0]|(0.999, 3616.0]",0,5,0,0,,,,,,
0,"0|(7231.0, 10846.0]|(3616.0, 7231.0]|(10846.0, 14461.0]|(0.999, 3616.0]",0,8,0,0,,,,,,
0,"0|(10846.0, 14461.0]|(3616.0, 7231.0]|(7231.0, 10846.0]|(10846.0, 14461.0]",28,11,11,1,,,,,,
0,"0|(10846.0, 14461.0]|(3616.0, 7231.0]|(10846.0, 14461.0]|(0.999, 3616.0]",0,1,0,0,,,,,,
0,"0|(10846.0, 14461.0]|(3616.0, 7231.0]|(3616.0, 7231.0]|(0.999, 3616.0]",0,1,0,0,,,,,,
0,"0|(7231.0, 10846.0]|(3616.0, 7231.0]|(3616.0, 7231.0]|(3616.0, 7231.0]",4,20,4,1,,,,,,
0,"0|(3616.0, 7231.0]|(3616.0, 7231.0]|(3616.0, 7231.0]|(3616.0, 7231.0]",5,114,5,1,,,,,,
0,"0|(3616.0, 7231.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(3616.0, 7231.0]",12,244,12,1,,,,,,
0,"0|(3616.0, 7231.0]|(3616.0, 7231.0]|(7231.0, 10846.0]|(3616.0, 7231.0]",30,288,30,1,,,,,,
0,"0|(7231.0, 10846.0]|(3616.0, 7231.0]|(7231.0, 10846.0]|(3616.0, 7231.0]",5,37,5,1,,,,,,
0,"0|(10846.0, 14461.0]|(3616.0, 7231.0]|(7231.0, 10846.0]|(3616.0, 7231.0]",1,11,1,1,,,,,,
0,"0|(0.999, 3616.0]|(3616.0, 7231.0]|(3616.0, 7231.0]|(3616.0, 7231.0]",1,13,1,1,,,,,,
0,"0|(0.999, 3616.0]|(3616.0, 7231.0]|(7231.0, 10846.0]|(3616.0, 7231.0]",18,104,18,1,,,,,,
0,"0|(0.999, 3616.0]|(3616.0, 7231.0]|(10846.0, 14461.0]|(3616.0, 7231.0]",22,348,22,1,,,,,,
0,"0|(7231.0, 10846.0]|(3616.0, 7231.0]|(10846.0, 14461.0]|(3616.0, 7231.0]",1,49,1,1,,,,,,
0,"0|(0.999, 3616.0]|(10846.0, 14461.0]|(3616.0, 7231.0]|(3616.0, 7231.0]",0,14,0,0,,,,,,
0,"0|(10846.0, 14461.0]|(3616.0, 7231.0]|(10846.0, 14461.0]|(7231.0, 10846.0]",3,18,3,1,,,,,,
0,"0|(0.999, 3616.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(3616.0, 7231.0]",0,19,0,0,,,,,,
0,"0|(7231.0, 10846.0]|(3616.0, 7231.0]|(10846.0, 14461.0]|(7231.0, 10846.0]",11,48,11,1,,,,,,
