event_fe_id,rel_t_history,product_window_choices,new_product_window_choices,window_novelty
948|133|2021-07-28,-2,2,2,1.0
1041|19|2021-07-15,-12,1,0,0.0
1041|19|2021-07-15,-8,1,0,0.0
1041|19|2021-07-15,-7,2,1,0.5
1041|19|2021-07-15,-5,1,0,0.0
1041|19|2021-07-15,-4,1,0,0.0
1041|19|2021-07-15,-3,2,1,0.5
1041|19|2021-07-15,-2,1,1,1.0
1041|19|2021-07-15,-1,2,0,0.0
1051|131|2021-08-29,-12,1,1,1.0
1051|131|2021-08-29,-4,1,1,1.0
1051|131|2021-08-29,-3,2,2,1.0
1058|238|2021-07-24,-12,2,2,1.0
1058|238|2021-07-24,-11,1,1,1.0
1058|238|2021-07-24,-10,4,3,0.75
1058|238|2021-07-24,-9,3,2,0.6666666666666666
1058|238|2021-07-24,-8,7,4,0.5714285714285714
1058|238|2021-07-24,-7,1,0,0.0
1058|238|2021-07-24,-1,1,1,1.0
1071|19|2021-07-15,-11,2,1,0.5
1071|19|2021-07-15,-10,2,1,0.5
1071|19|2021-07-15,-9,2,1,0.5
1071|19|2021-07-15,-4,1,1,1.0
1071|19|2021-07-15,-3,2,2,1.0
1071|19|2021-07-15,-2,1,0,0.0
1071|19|2021-07-15,-1,1,0,0.0
1090|238|2021-07-24,-12,1,1,1.0
1090|238|2021-07-24,-4,1,1,1.0
1090|238|2021-07-24,-2,5,5,1.0
1090|238|2021-07-24,-1,6,4,0.6666666666666666
1127|47|2021-07-30,-9,1,0,0.0
1127|47|2021-07-30,-6,2,1,0.5
1153|238|2021-07-24,-11,6,6,1.0
1155|238|2021-07-24,-8,1,0,0.0
1155|238|2021-07-24,-6,1,1,1.0
1155|238|2021-07-24,-5,1,0,0.0
1155|238|2021-07-24,-3,5,4,0.8
1155|238|2021-07-24,-2,6,4,0.6666666666666666
1155|238|2021-07-24,-1,2,0,0.0
1167|182|2021-08-03,-8,2,2,1.0
1167|182|2021-08-03,-7,2,0,0.0
1167|182|2021-08-03,-5,5,3,0.6
1167|182|2021-08-03,-4,1,1,1.0
1167|182|2021-08-03,-3,2,1,0.5
1197|5|2021-08-18,-7,2,2,1.0
1197|5|2021-08-18,-6,1,0,0.0
1213|246|2021-07-27,-12,2,1,0.5
1213|246|2021-07-27,-11,1,0,0.0
1213|246|2021-07-27,-10,2,1,0.5
1213|246|2021-07-27,-8,1,0,0.0
1213|246|2021-07-27,-6,1,0,0.0
1216|59|2021-08-03,-11,1,0,0.0
1216|59|2021-08-03,-7,1,0,0.0
1216|59|2021-08-03,-6,1,0,0.0
1216|59|2021-08-03,-5,1,0,0.0
1223|124|2021-07-22,-9,2,2,1.0
1223|124|2021-07-22,-7,1,1,1.0
1223|124|2021-07-22,-6,1,0,0.0
1223|124|2021-07-22,-5,4,3,0.75
1223|124|2021-07-22,-4,2,1,0.5
1223|124|2021-07-22,-3,1,0,0.0
1223|124|2021-07-22,-2,5,3,0.6
1223|124|2021-07-22,-1,1,1,1.0
1246|59|2021-08-03,-12,1,0,0.0
1246|59|2021-08-03,-11,1,0,0.0
1246|59|2021-08-03,-10,2,1,0.5
1246|59|2021-08-03,-9,1,0,0.0
1246|59|2021-08-03,-8,1,0,0.0
1246|59|2021-08-03,-6,2,1,0.5
1246|59|2021-08-03,-5,1,0,0.0
1246|59|2021-08-03,-4,1,0,0.0
1246|59|2021-08-03,-2,1,1,1.0
1270|182|2021-08-03,-9,2,0,0.0
1270|182|2021-08-03,-4,1,1,1.0
1270|182|2021-08-03,-2,6,2,0.3333333333333333
1270|182|2021-08-03,-1,2,1,0.5
1273|46|2021-08-04,-8,1,0,0.0
1273|46|2021-08-04,-6,1,0,0.0
1273|46|2021-08-04,-4,1,0,0.0
1273|46|2021-08-04,-3,1,1,1.0
1273|46|2021-08-04,-2,1,1,1.0
1273|46|2021-08-04,-1,2,1,0.5
1280|59|2021-08-03,-12,1,0,0.0
1293|19|2021-07-15,-11,4,3,0.75
1293|19|2021-07-15,-3,4,2,0.5
1293|19|2021-07-15,-2,3,0,0.0
1293|19|2021-07-15,-1,1,0,0.0
1311|124|2021-07-22,-5,3,3,1.0
1311|124|2021-07-22,-4,1,0,0.0
1311|124|2021-07-22,-3,1,0,0.0
1325|19|2021-07-15,-10,3,2,0.6666666666666666
1325|19|2021-07-15,-1,1,1,1.0
1339|133|2021-07-28,-5,2,2,1.0
1339|133|2021-07-28,-4,1,1,1.0
1339|133|2021-07-28,-3,1,1,1.0
1339|133|2021-07-28,-2,2,0,0.0
1339|133|2021-07-28,-1,1,1,1.0
1342|133|2021-07-28,-12,1,1,1.0
1342|133|2021-07-28,-11,2,2,1.0
1342|133|2021-07-28,-10,1,1,1.0
1342|133|2021-07-28,-8,1,0,0.0
1343|133|2021-07-28,-12,2,1,0.5
1343|133|2021-07-28,-9,2,1,0.5
1343|133|2021-07-28,-8,1,1,1.0
1343|133|2021-07-28,-6,1,0,0.0
1343|133|2021-07-28,-3,2,2,1.0
1370|39|2021-07-25,-12,1,0,0.0
1370|39|2021-07-25,-11,1,0,0.0
1370|39|2021-07-25,-10,1,0,0.0
1370|39|2021-07-25,-9,1,0,0.0
1370|39|2021-07-25,-8,2,1,0.5
1370|39|2021-07-25,-5,1,0,0.0
1370|39|2021-07-25,-3,1,0,0.0
1370|39|2021-07-25,-2,1,0,0.0
1370|39|2021-07-25,-1,1,0,0.0
1427|121|2021-08-03,-12,1,1,1.0
1427|121|2021-08-03,-11,1,1,1.0
1427|121|2021-08-03,-10,1,0,0.0
1427|121|2021-08-03,-8,1,0,0.0
1427|121|2021-08-03,-7,1,1,1.0
1427|121|2021-08-03,-6,1,1,1.0
1427|121|2021-08-03,-4,1,0,0.0
1427|121|2021-08-03,-1,1,0,0.0
1457|5|2021-08-18,-12,1,0,0.0
1457|5|2021-08-18,-7,1,0,0.0
1457|5|2021-08-18,-6,2,1,0.5
1457|5|2021-08-18,-5,1,0,0.0
1457|5|2021-08-18,-4,1,0,0.0
1457|5|2021-08-18,-3,1,0,0.0
1457|5|2021-08-18,-2,1,0,0.0
1457|5|2021-08-18,-1,1,0,0.0
1482|121|2021-08-03,-7,1,1,1.0
1482|121|2021-08-03,-5,8,8,1.0
1482|121|2021-08-03,-4,1,1,1.0
1482|121|2021-08-03,-3,5,2,0.4
1482|121|2021-08-03,-2,4,0,0.0
1482|121|2021-08-03,-1,1,0,0.0
1498|39|2021-07-25,-5,2,1,0.5
1498|39|2021-07-25,-3,2,2,1.0
1498|39|2021-07-25,-2,1,1,1.0
1498|39|2021-07-25,-1,3,0,0.0
1499|238|2021-07-24,-3,5,5,1.0
1499|238|2021-07-24,-2,1,0,0.0
1531|5|2021-08-18,-10,1,1,1.0
1531|5|2021-08-18,-9,1,1,1.0
1531|5|2021-08-18,-7,1,1,1.0
1531|5|2021-08-18,-5,1,1,1.0
1531|5|2021-08-18,-2,1,1,1.0
1533|124|2021-07-22,-11,1,1,1.0
1533|124|2021-07-22,-7,1,1,1.0
1533|124|2021-07-22,-4,1,1,1.0
1533|124|2021-07-22,-3,1,0,0.0
1552|133|2021-07-28,-11,1,1,1.0
1552|133|2021-07-28,-7,1,1,1.0
1552|133|2021-07-28,-2,1,1,1.0
1566|59|2021-08-03,-12,1,0,0.0
1566|59|2021-08-03,-11,2,1,0.5
1566|59|2021-08-03,-10,1,0,0.0
1566|59|2021-08-03,-7,1,0,0.0
