spec,row_term,column_term,covariance
market_new_raw_500m_interaction,post_X_treated_X_density,post_X_density,2.402844610278908e-05
market_new_raw_500m_interaction,post_X_treated_X_density,post_X_treated_X_density,0.00047905277936276594
market_new_raw_500m_interaction,post_X_treated_X_density,post_X_disp_X_density,-3.9790197473551546e-05
market_new_raw_500m_interaction,post_X_treated_X_density,post_X_treated_X_disp_X_density,-4.417653859461773e-05
market_new_raw_500m_interaction,post_X_disp_X_density,post_X_treated,-1.8149351589287193e-05
market_new_raw_500m_interaction,post_X_disp_X_density,post_X_disp,-1.0027295574880695e-05
market_new_raw_500m_interaction,post_X_disp_X_density,post_X_treated_X_disp,8.79464136165665e-06
market_new_raw_500m_interaction,post_X_disp_X_density,post_X_density,-1.716091236242127e-05
market_new_raw_500m_interaction,post_X_disp_X_density,post_X_treated_X_density,-3.9790197473551464e-05
market_new_raw_500m_interaction,post_X_disp_X_density,post_X_disp_X_density,2.8613293639941323e-05
market_new_raw_500m_interaction,post_X_disp_X_density,post_X_treated_X_disp_X_density,-1.478330245256516e-05
market_new_raw_500m_interaction,post_X_treated_X_disp_X_density,post_X_treated,8.788337347923086e-05
market_new_raw_500m_interaction,post_X_treated_X_disp_X_density,post_X_disp,5.130283973266882e-05
market_new_raw_500m_interaction,post_X_treated_X_disp_X_density,post_X_treated_X_disp,0.00014164264613603398
market_new_raw_500m_interaction,post_X_treated_X_disp_X_density,post_X_density,2.5349833824522758e-05
market_new_raw_500m_interaction,post_X_treated_X_disp_X_density,post_X_treated_X_density,-4.4176538594618285e-05
market_new_raw_500m_interaction,post_X_treated_X_disp_X_density,post_X_disp_X_density,-1.4783302452565121e-05
market_new_raw_500m_interaction,post_X_treated_X_disp_X_density,post_X_treated_X_disp_X_density,0.0005408090685920597
low_density_le3_descriptive,post_X_treated,post_X_treated,0.0014263156594434192
low_density_le3_descriptive,post_X_treated,post_X_disp,0.00035579592899506496
low_density_le3_descriptive,post_X_treated,post_X_treated_X_disp,-0.0011954772992503184
low_density_le3_descriptive,post_X_disp,post_X_treated,0.00035579592899506485
low_density_le3_descriptive,post_X_disp,post_X_disp,0.00016820298267721645
low_density_le3_descriptive,post_X_disp,post_X_treated_X_disp,-0.000286159469912844
low_density_le3_descriptive,post_X_treated_X_disp,post_X_treated,-0.0011954772992503187
low_density_le3_descriptive,post_X_treated_X_disp,post_X_disp,-0.00028615946991284407
low_density_le3_descriptive,post_X_treated_X_disp,post_X_treated_X_disp,0.0013333963532161815
preferred_store_event_post_fe,post_X_disp,post_X_disp,5.61189709700723e-05
preferred_store_event_post_fe,post_X_disp,post_X_treated_X_disp,-6.654791676642478e-05
preferred_store_event_post_fe,post_X_treated_X_disp,post_X_disp,-6.654791676642478e-05
preferred_store_event_post_fe,post_X_treated_X_disp,post_X_treated_X_disp,0.00029407784071948227
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m4_X_treated,0.0002774414988406117
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m4_X_disp,5.9505093606151354e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m4_X_treated_X_disp,-0.00025004202516489097
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m4_X_density,6.14134561348266e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m4_X_treated_X_density,-3.907977868859905e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m4_X_disp_X_density,-7.206057171608956e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m4_X_treated_X_disp_X_density,0.00012613639214964658
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m3_X_treated,0.0003424121999109716
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_m3_X_disp,-1.0830752597555676e-05
