member_id,dept_id,closure_start,novelty_pre_mean,novelty_pre_selected_for_heterogeneity,novelty_pre_group,novelty_pre_split_rule,novelty_pre_threshold_low,novelty_pre_threshold_high
203847,46,2021-08-04,0.3333333333333333,0,middle,quartile_tails,0.25,1.0
204221,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
204865,46,2021-08-04,0.75,0,middle,quartile_tails,0.25,1.0
205056,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
205335,46,2021-08-04,0.6875,0,middle,quartile_tails,0.25,1.0
208168,46,2021-08-04,0.8333333333333334,0,middle,quartile_tails,0.25,1.0
209771,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
213765,46,2021-08-04,0.125,1,baseline,quartile_tails,0.25,1.0
213901,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
214056,46,2021-08-04,0.5833333333333333,0,middle,quartile_tails,0.25,1.0
216799,46,2021-08-04,0.5,0,middle,quartile_tails,0.25,1.0
219751,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
220810,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
221334,46,2021-08-04,0.2222222222222222,1,baseline,quartile_tails,0.25,1.0
221859,46,2021-08-04,0.20833333333333331,1,baseline,quartile_tails,0.25,1.0
223105,46,2021-08-04,0.2708333333333333,0,middle,quartile_tails,0.25,1.0
223113,46,2021-08-04,0.4375,0,middle,quartile_tails,0.25,1.0
225205,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
225745,46,2021-08-04,0.16666666666666666,1,baseline,quartile_tails,0.25,1.0
225799,46,2021-08-04,0.4166666666666667,0,middle,quartile_tails,0.25,1.0
226225,46,2021-08-04,0.25,1,baseline,quartile_tails,0.25,1.0
226455,46,2021-08-04,0.6666666666666666,0,middle,quartile_tails,0.25,1.0
227041,46,2021-08-04,0.0,1,baseline,quartile_tails,0.25,1.0
227585,46,2021-08-04,0.5555555555555555,0,middle,quartile_tails,0.25,1.0
228027,46,2021-08-04,0.1,1,baseline,quartile_tails,0.25,1.0
229408,46,2021-08-04,1.0,1,high,quartile_tails,0.25,1.0
232660,46,2021-08-04,0.1875,1,baseline,quartile_tails,0.25,1.0
