treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
0,"0|(12947.5, 19420.75]|(6474.25, 12947.5]|(12947.5, 19420.75]|(12947.5, 19420.75]",108,201,108,1,,,,,,
0,"0|(12947.5, 19420.75]|(6474.25, 12947.5]|(6474.25, 12947.5]|(12947.5, 19420.75]",68,67,67,1,,,,,,
0,"0|(12947.5, 19420.75]|(6474.25, 12947.5]|(19420.75, 25894.0]|(0.999, 6474.25]",1,55,1,1,,,,,,
0,"0|(6474.25, 12947.5]|(6474.25, 12947.5]|(6474.25, 12947.5]|(6474.25, 12947.5]",9,73,9,1,,,,,,
0,"0|(19420.75, 25894.0]|(6474.25, 12947.5]|(19420.75, 25894.0]|(0.999, 6474.25]",0,7,0,0,,,,,,
0,"0|(19420.75, 25894.0]|(6474.25, 12947.5]|(6474.25, 12947.5]|(6474.25, 12947.5]",10,12,10,1,,,,,,
0,"0|(6474.25, 12947.5]|(6474.25, 12947.5]|(19420.75, 25894.0]|(6474.25, 12947.5]",7,258,7,1,,,,,,
0,"0|(12947.5, 19420.75]|(6474.25, 12947.5]|(19420.75, 25894.0]|(6474.25, 12947.5]",3,93,3,1,,,,,,
0,"0|(19420.75, 25894.0]|(6474.25, 12947.5]|(12947.5, 19420.75]|(6474.25, 12947.5]",12,35,12,1,,,,,,
0,"0|(12947.5, 19420.75]|(6474.25, 12947.5]|(6474.25, 12947.5]|(0.999, 6474.25]",3,21,3,1,,,,,,
0,"0|(12947.5, 19420.75]|(6474.25, 12947.5]|(12947.5, 19420.75]|(0.999, 6474.25]",8,52,8,1,,,,,,
0,"0|(19420.75, 25894.0]|(6474.25, 12947.5]|(19420.75, 25894.0]|(6474.25, 12947.5]",0,12,0,0,,,,,,
0,"0|(6474.25, 12947.5]|(6474.25, 12947.5]|(12947.5, 19420.75]|(12947.5, 19420.75]",83,117,83,1,,,,,,
0,"0|(12947.5, 19420.75]|(6474.25, 12947.5]|(19420.75, 25894.0]|(12947.5, 19420.75]",16,113,16,1,,,,,,
0,"0|(6474.25, 12947.5]|(6474.25, 12947.5]|(6474.25, 12947.5]|(12947.5, 19420.75]",17,35,17,1,,,,,,
0,"0|(19420.75, 25894.0]|(6474.25, 12947.5]|(12947.5, 19420.75]|(0.999, 6474.25]",1,4,1,1,,,,,,
0,"0|(19420.75, 25894.0]|(6474.25, 12947.5]|(12947.5, 19420.75]|(19420.75, 25894.0]",66,31,31,1,,,,,,
0,"0|(19420.75, 25894.0]|(6474.25, 12947.5]|(6474.25, 12947.5]|(19420.75, 25894.0]",32,13,13,1,,,,,,
0,"0|(12947.5, 19420.75]|(6474.25, 12947.5]|(6474.25, 12947.5]|(19420.75, 25894.0]",8,12,8,1,,,,,,
0,"0|(12947.5, 19420.75]|(6474.25, 12947.5]|(12947.5, 19420.75]|(19420.75, 25894.0]",82,30,30,1,,,,,,
0,"0|(19420.75, 25894.0]|(6474.25, 12947.5]|(6474.25, 12947.5]|(0.999, 6474.25]",0,1,0,0,,,,,,
0,"0|(6474.25, 12947.5]|(6474.25, 12947.5]|(19420.75, 25894.0]|(12947.5, 19420.75]",48,173,48,1,,,,,,
0,"0|(19420.75, 25894.0]|(6474.25, 12947.5]|(19420.75, 25894.0]|(12947.5, 19420.75]",3,22,3,1,,,,,,
0,"0|(6474.25, 12947.5]|(6474.25, 12947.5]|(19420.75, 25894.0]|(19420.75, 25894.0]",27,21,21,1,,,,,,
0,"0|(0.999, 6474.25]|(12947.5, 19420.75]|(12947.5, 19420.75]|(12947.5, 19420.75]",17,39,17,1,,,,,,
0,"0|(0.999, 6474.25]|(6474.25, 12947.5]|(19420.75, 25894.0]|(12947.5, 19420.75]",31,71,31,1,,,,,,
0,"0|(12947.5, 19420.75]|(6474.25, 12947.5]|(19420.75, 25894.0]|(19420.75, 25894.0]",31,17,17,1,,,,,,
0,"0|(6474.25, 12947.5]|(6474.25, 12947.5]|(12947.5, 19420.75]|(19420.75, 25894.0]",21,12,12,1,,,,,,
0,"0|(0.999, 6474.25]|(12947.5, 19420.75]|(6474.25, 12947.5]|(12947.5, 19420.75]",11,36,11,1,,,,,,
0,"0|(19420.75, 25894.0]|(6474.25, 12947.5]|(19420.75, 25894.0]|(19420.75, 25894.0]",19,7,7,1,,,,,,
0,"0|(6474.25, 12947.5]|(19420.75, 25894.0]|(12947.5, 19420.75]|(0.999, 6474.25]",1,1,1,1,,,,,,
0,"0|(0.999, 6474.25]|(12947.5, 19420.75]|(0.999, 6474.25]|(12947.5, 19420.75]",4,15,4,1,,,,,,
0,"0|(0.999, 6474.25]|(6474.25, 12947.5]|(12947.5, 19420.75]|(12947.5, 19420.75]",13,8,8,1,,,,,,
0,"0|(0.999, 6474.25]|(6474.25, 12947.5]|(19420.75, 25894.0]|(6474.25, 12947.5]",29,469,29,1,,,,,,
0,"0|(0.999, 6474.25]|(6474.25, 12947.5]|(12947.5, 19420.75]|(6474.25, 12947.5]",18,120,18,1,,,,,,
0,"0|(6474.25, 12947.5]|(19420.75, 25894.0]|(12947.5, 19420.75]|(12947.5, 19420.75]",1,0,0,0,,,,,,
0,"0|(6474.25, 12947.5]|(19420.75, 25894.0]|(12947.5, 19420.75]|(6474.25, 12947.5]",0,1,0,0,,,,,,
0,"0|(0.999, 6474.25]|(6474.25, 12947.5]|(6474.25, 12947.5]|(6474.25, 12947.5]",1,18,1,1,,,,,,
0,"0|(0.999, 6474.25]|(12947.5, 19420.75]|(19420.75, 25894.0]|(12947.5, 19420.75]",10,14,10,1,,,,,,
0,"0|(0.999, 6474.25]|(12947.5, 19420.75]|(19420.75, 25894.0]|(6474.25, 12947.5]",20,103,20,1,,,,,,
0,"0|(6474.25, 12947.5]|(12947.5, 19420.75]|(19420.75, 25894.0]|(19420.75, 25894.0]",13,2,2,1,,,,,,
0,"0|(12947.5, 19420.75]|(12947.5, 19420.75]|(19420.75, 25894.0]|(12947.5, 19420.75]",1,7,1,1,,,,,,
0,"0|(6474.25, 12947.5]|(12947.5, 19420.75]|(19420.75, 25894.0]|(12947.5, 19420.75]",12,17,12,1,,,,,,
0,"0|(6474.25, 12947.5]|(12947.5, 19420.75]|(19420.75, 25894.0]|(6474.25, 12947.5]",1,7,1,1,,,,,,
0,"0|(6474.25, 12947.5]|(19420.75, 25894.0]|(6474.25, 12947.5]|(19420.75, 25894.0]",1,0,0,0,,,,,,
0,"0|(19420.75, 25894.0]|(12947.5, 19420.75]|(19420.75, 25894.0]|(12947.5, 19420.75]",4,7,4,1,,,,,,
0,"0|(12947.5, 19420.75]|(12947.5, 19420.75]|(19420.75, 25894.0]|(6474.25, 12947.5]",0,2,0,0,,,,,,
0,"0|(12947.5, 19420.75]|(12947.5, 19420.75]|(19420.75, 25894.0]|(19420.75, 25894.0]",4,1,1,1,,,,,,
0,"0|(6474.25, 12947.5]|(19420.75, 25894.0]|(0.999, 6474.25]|(19420.75, 25894.0]",1,0,0,0,,,,,,
0,"0|(19420.75, 25894.0]|(12947.5, 19420.75]|(19420.75, 25894.0]|(19420.75, 25894.0]",2,2,2,1,,,,,,
0,"0|(19420.75, 25894.0]|(12947.5, 19420.75]|(19420.75, 25894.0]|(6474.25, 12947.5]",0,1,0,0,,,,,,
1,"1|(6474.25, 12947.5]|(0.999, 6474.25]|(19420.75, 25894.0]|(6474.25, 12947.5]",28,48,28,1,,,,,,
1,"1|(19420.75, 25894.0]|(0.999, 6474.25]|(6474.25, 12947.5]|(12947.5, 19420.75]",8,2,2,1,,,,,,
1,"1|(12947.5, 19420.75]|(19420.75, 25894.0]|(6474.25, 12947.5]|(12947.5, 19420.75]",18,32,18,1,,,,,,
1,"1|(12947.5, 19420.75]|(12947.5, 19420.75]|(6474.25, 12947.5]|(12947.5, 19420.75]",30,34,30,1,,,,,,
1,"1|(0.999, 6474.25]|(0.999, 6474.25]|(19420.75, 25894.0]|(0.999, 6474.25]",31,253,31,1,,,,,,
1,"1|(12947.5, 19420.75]|(0.999, 6474.25]|(6474.25, 12947.5]|(6474.25, 12947.5]",7,2,2,1,,,,,,
1,"1|(19420.75, 25894.0]|(12947.5, 19420.75]|(6474.25, 12947.5]|(19420.75, 25894.0]",66,19,19,1,,,,,,
1,"1|(0.999, 6474.25]|(12947.5, 19420.75]|(6474.25, 12947.5]|(0.999, 6474.25]",10,56,10,1,,,,,,
1,"1|(12947.5, 19420.75]|(0.999, 6474.25]|(12947.5, 19420.75]|(6474.25, 12947.5]",25,22,22,1,,,,,,
1,"1|(6474.25, 12947.5]|(0.999, 6474.25]|(19420.75, 25894.0]|(0.999, 6474.25]",4,54,4,1,,,,,,
1,"1|(19420.75, 25894.0]|(0.999, 6474.25]|(12947.5, 19420.75]|(12947.5, 19420.75]",30,6,6,1,,,,,,
1,"1|(19420.75, 25894.0]|(12947.5, 19420.75]|(6474.25, 12947.5]|(12947.5, 19420.75]",9,4,4,1,,,,,,
1,"1|(6474.25, 12947.5]|(0.999, 6474.25]|(12947.5, 19420.75]|(6474.25, 12947.5]",35,48,35,1,,,,,,
1,"1|(0.999, 6474.25]|(0.999, 6474.25]|(12947.5, 19420.75]|(0.999, 6474.25]",14,81,14,1,,,,,,
1,"1|(12947.5, 19420.75]|(0.999, 6474.25]|(19420.75, 25894.0]|(0.999, 6474.25]",0,10,0,0,,,,,,
1,"1|(12947.5, 19420.75]|(0.999, 6474.25]|(12947.5, 19420.75]|(12947.5, 19420.75]",40,12,12,1,,,,,,
1,"1|(12947.5, 19420.75]|(0.999, 6474.25]|(12947.5, 19420.75]|(0.999, 6474.25]",2,3,2,1,,,,,,
1,"1|(19420.75, 25894.0]|(12947.5, 19420.75]|(0.999, 6474.25]|(19420.75, 25894.0]",42,10,10,1,,,,,,
1,"1|(12947.5, 19420.75]|(12947.5, 19420.75]|(6474.25, 12947.5]|(6474.25, 12947.5]",2,6,2,1,,,,,,
1,"1|(12947.5, 19420.75]|(0.999, 6474.25]|(6474.25, 12947.5]|(12947.5, 19420.75]",4,0,0,0,,,,,,
1,"1|(19420.75, 25894.0]|(19420.75, 25894.0]|(0.999, 6474.25]|(6474.25, 12947.5]",4,5,4,1,,,,,,
1,"1|(12947.5, 19420.75]|(12947.5, 19420.75]|(0.999, 6474.25]|(19420.75, 25894.0]",54,24,24,1,,,,,,
1,"1|(19420.75, 25894.0]|(19420.75, 25894.0]|(6474.25, 12947.5]|(12947.5, 19420.75]",19,17,17,1,,,,,,
1,"1|(19420.75, 25894.0]|(19420.75, 25894.0]|(6474.25, 12947.5]|(19420.75, 25894.0]",119,13,13,1,,,,,,
1,"1|(6474.25, 12947.5]|(19420.75, 25894.0]|(0.999, 6474.25]|(0.999, 6474.25]",12,30,12,1,,,,,,
1,"1|(6474.25, 12947.5]|(12947.5, 19420.75]|(6474.25, 12947.5]|(6474.25, 12947.5]",9,43,9,1,,,,,,
