evaluation_slice,closure_event_id,closure_duration_days,n,n_positive,n_negative,prevalence,mean_predicted_probability,always_negative_accuracy,threshold,predicted_positive_share,tn,fp,fn,tp,accuracy,sensitivity,specificity,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,f1,roc_auc,pr_auc,average_precision,brier_score,constant_prevalence_brier,brier_skill_score,calibration_intercept,calibration_slope
control_pre_t-1,dept_46_closure_2021-08-04,16,2416,755,1661,0.3125,0.31405523410886954,0.6875,0.5,0.2806291390728477,1414,247,324,431,0.7636589403973509,0.5708609271523178,0.8512944009632751,0.14870559903672487,0.4291390728476821,0.6356932153392331,0.8135788262370541,0.6015352407536636,0.8128582877146536,0.6721499824745301,0.6725464024216037,0.16953879368472624,0.21484375,0.21087397848563783,-0.31740537713116096,0.4723216481471782
control_pre_t-1,dept_47_closure_2021-07-30,12,3164,793,2371,0.2506321112515803,0.260182499769875,0.7493678887484196,0.5,0.2209228824273072,2097,274,368,425,0.7970922882427307,0.5359394703656999,0.8844369464361029,0.1155630535638971,0.4640605296343001,0.6080114449213162,0.850709939148073,0.5697050938337802,0.8289780412008705,0.6279187089674302,0.628302679098932,0.14875766476083155,0.18781565606115577,0.20795918785176415,-0.42918422872712997,0.5068475110001005
control_pre_t-1,dept_59_closure_2021-08-03,17,2783,898,1885,0.32267337405677327,0.36680924736530235,0.6773266259432267,0.5,0.35429392741645704,1495,390,302,596,0.7513474667624865,0.6636971046770601,0.7931034482758621,0.20689655172413793,0.3363028953229399,0.6044624746450304,0.8319421257651641,0.6326963906581741,0.8153568495861714,0.6670174517160836,0.6673656578172695,0.17523915744686808,0.21855526773159092,0.19819293643345004,-0.46328466387149664,0.49908498810737745
control_pre_t-1,dept_5_closure_2021-08-18,14,2013,523,1490,0.2598112270243418,0.24087495909299622,0.7401887729756582,0.5,0.18082463984103328,1363,127,286,237,0.7948335817188277,0.45315487571701724,0.9147651006711409,0.08523489932885905,0.5468451242829828,0.6510989010989011,0.8265615524560339,0.5343855693348365,0.8008636287807821,0.6094541204045678,0.6100661219904306,0.15019827347318684,0.19230935333644772,0.21897572391909093,-0.173021940977186,0.647971831847287
control_pre_t-1,dept_62_closure_2021-08-04,14,2420,520,1900,0.21487603305785125,0.2875059938512373,0.7851239669421488,0.5,0.2318181818181818,1608,292,251,269,0.7756198347107438,0.5173076923076924,0.8463157894736842,0.15368421052631578,0.4826923076923077,0.47950089126559714,0.8649811726734804,0.4976873265494912,0.7781487854251012,0.5340374981379227,0.5346073848054946,0.15742207015551987,0.16870432347517247,0.06687589913078285,-0.8342452323384206,0.5133480910714211
control_pre_t-1,dept_8_closure_2021-05-27,15,551,256,295,0.4646098003629764,0.33990836661362245,0.5353901996370236,0.5,0.29219600725952816,265,30,125,131,0.7186932849364791,0.51171875,0.8983050847457628,0.1016949152542373,0.48828125,0.8136645962732919,0.6794871794871795,0.6282973621103117,0.7877648305084746,0.7884834692827176,0.7889651871677663,0.21410821727234144,0.2487475337696516,0.13925491429952153,0.4061927924067461,0.45126494303641784
treated_pre_t-1,dept_121_closure_2021-08-03,18,411,106,305,0.25790754257907544,0.313742306363574,0.7420924574209246,0.5,0.2822384428223844,252,53,43,63,0.7664233576642335,0.5943396226415094,0.8262295081967214,0.1737704918032787,0.4056603773584906,0.5431034482758621,0.8542372881355932,0.5675675675675675,0.8154655119084442,0.6210863279448713,0.6242147097991803,0.15574520445363488,0.19139124205989783,0.18624696314529987,-0.6164863013880076,0.5680393389687611
treated_pre_t-1,dept_124_closure_2021-07-22,28,1204,591,613,0.4908637873754153,0.4686168800832467,0.5091362126245846,0.5,0.4684385382059801,471,142,169,422,0.7416943521594684,0.7140439932318104,0.768352365415987,0.23164763458401305,0.2859560067681895,0.74822695035461,0.7359375,0.7307359307359307,0.8356671441939036,0.8345538758579965,0.8347443019383741,0.17785235472897568,0.24991652961887836,0.288352975290591,0.09304335800337721,0.5627759109752232
treated_pre_t-1,dept_131_closure_2021-08-29,11,401,108,293,0.26932668329177056,0.21422767892690084,0.7306733167082294,0.5,0.14713216957605985,272,21,70,38,0.773067331670823,0.35185185185185186,0.9283276450511946,0.07167235494880546,0.6481481481481481,0.6440677966101694,0.7953216374269005,0.4550898203592814,0.8020477815699658,0.6069672163329045,0.6097080832658889,0.16104765647615718,0.19678982095882488,0.18162608364863642,-0.0032008139687532,0.5924789864305712
treated_pre_t-1,dept_133_closure_2021-07-28,26,210,71,139,0.3380952380952381,0.3458787384082652,0.6619047619047619,0.5,0.319047619047619,112,27,31,40,0.7238095238095238,0.5633802816901409,0.8057553956834532,0.19424460431654678,0.43661971830985913,0.5970149253731343,0.7832167832167832,0.5797101449275363,0.7632992197791063,0.6617869987286953,0.6644293002199969,0.19143103465468533,0.22378684807256236,0.14458317678877053,-0.29092022312717497,0.49267697256779514
treated_pre_t-1,dept_182_closure_2021-08-03,18,208,61,147,0.2932692307692308,0.32407243478519376,0.7067307692307692,0.5,0.2692307692307692,120,27,32,29,0.7163461538461539,0.47540983606557374,0.8163265306122449,0.1836734693877551,0.5245901639344263,0.5178571428571429,0.7894736842105263,0.49572649572649574,0.7214229954276792,0.5696274356509804,0.5731742848122515,0.19960228388332332,0.20726238905325442,0.03695849114217675,-0.5332469621217263,0.4063918369543314
treated_pre_t-1,dept_19_closure_2021-07-15,11,593,166,427,0.2799325463743676,0.20067893765873823,0.7200674536256324,0.5,0.1399662731871838,405,22,105,61,0.7858347386172007,0.3674698795180723,0.9484777517564403,0.05152224824355972,0.6325301204819277,0.7349397590361446,0.7941176470588235,0.4899598393574297,0.7936429558985356,0.6522417761438302,0.6534988752451821,0.1584075918141489,0.20157031585473012,0.21413234313572338,0.18207280842857196,0.6219568238903084
