closure_event_id,treated_dept_id,store_id,treated_store,closure_start,closure_end,rel_t,post,period_start,period_end,n_baskets,n_members,n_products,rarefied_products_50,core_coverage,menu_jaccard_pre,event_store_fe,event_rel_fe,treated_store_X_post
dept_19_closure_2021-07-15,19,224,0,2021-07-15,2021-07-25,-3,0,2021-06-24,2021-06-30,1152,882,75,27.35,1.0,0.8426966292134831,dept_19_closure_2021-07-15|224,dept_19_closure_2021-07-15|-3,0
dept_19_closure_2021-07-15,19,224,0,2021-07-15,2021-07-25,-2,0,2021-07-01,2021-07-07,1059,832,68,27.14,0.9692307692307692,0.7640449438202247,dept_19_closure_2021-07-15|224,dept_19_closure_2021-07-15|-2,0
dept_19_closure_2021-07-15,19,224,0,2021-07-15,2021-07-25,-1,0,2021-07-08,2021-07-14,1058,819,74,26.44,0.9692307692307692,0.8314606741573034,dept_19_closure_2021-07-15|224,dept_19_closure_2021-07-15|-1,0
dept_19_closure_2021-07-15,19,224,0,2021-07-15,2021-07-25,1,1,2021-07-26,2021-08-01,500,401,72,27.19,0.8615384615384616,0.6947368421052632,dept_19_closure_2021-07-15|224,dept_19_closure_2021-07-15|1,0
dept_19_closure_2021-07-15,19,224,0,2021-07-15,2021-07-25,2,1,2021-08-02,2021-08-08,672,533,72,27.27,0.8461538461538461,0.61,dept_19_closure_2021-07-15|224,dept_19_closure_2021-07-15|2,0
dept_19_closure_2021-07-15,19,224,0,2021-07-15,2021-07-25,3,1,2021-08-09,2021-08-15,788,613,78,26.28,0.8461538461538461,0.6534653465346535,dept_19_closure_2021-07-15|224,dept_19_closure_2021-07-15|3,0
dept_19_closure_2021-07-15,19,224,0,2021-07-15,2021-07-25,4,1,2021-08-16,2021-08-22,866,663,77,26.32,0.8307692307692308,0.6435643564356436,dept_19_closure_2021-07-15|224,dept_19_closure_2021-07-15|4,0
dept_19_closure_2021-07-15,19,30,0,2021-07-15,2021-07-25,-4,0,2021-06-17,2021-06-23,286,227,57,27.31,0.9038461538461539,0.6785714285714286,dept_19_closure_2021-07-15|30,dept_19_closure_2021-07-15|-4,0
dept_19_closure_2021-07-15,19,30,0,2021-07-15,2021-07-25,-3,0,2021-06-24,2021-06-30,322,257,66,28.87,0.9807692307692307,0.7857142857142857,dept_19_closure_2021-07-15|30,dept_19_closure_2021-07-15|-3,0
dept_19_closure_2021-07-15,19,30,0,2021-07-15,2021-07-25,-2,0,2021-07-01,2021-07-07,288,232,52,25.62,0.8461538461538461,0.6190476190476191,dept_19_closure_2021-07-15|30,dept_19_closure_2021-07-15|-2,0
dept_19_closure_2021-07-15,19,30,0,2021-07-15,2021-07-25,-1,0,2021-07-08,2021-07-14,310,245,62,27.04,0.9038461538461539,0.7380952380952381,dept_19_closure_2021-07-15|30,dept_19_closure_2021-07-15|-1,0
dept_19_closure_2021-07-15,19,30,0,2021-07-15,2021-07-25,1,1,2021-07-26,2021-08-01,189,147,54,28.94,0.6730769230769231,0.45263157894736844,dept_19_closure_2021-07-15|30,dept_19_closure_2021-07-15|1,0
dept_19_closure_2021-07-15,19,30,0,2021-07-15,2021-07-25,2,1,2021-08-02,2021-08-08,255,198,58,28.86,0.6153846153846154,0.40594059405940597,dept_19_closure_2021-07-15|30,dept_19_closure_2021-07-15|2,0
dept_19_closure_2021-07-15,19,30,0,2021-07-15,2021-07-25,3,1,2021-08-09,2021-08-15,218,156,55,27.0,0.6346153846153846,0.39,dept_19_closure_2021-07-15|30,dept_19_closure_2021-07-15|3,0
