member_id,dept_id,closure_start,closure_end,period,period_start,period_end,is_treated,group,label,displacement_prob,predicted_displaced
140594,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.96334946,1
140776,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9937044,1
142040,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9430333,1
143953,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.8623952,1
145884,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9884207,1
146275,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9748751,1
146618,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.8747287,1
147277,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.82918733,1
147334,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.11021278,0
147487,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.0041439757,0
152105,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.94033796,1
153867,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9169288,1
154877,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9957296,1
155273,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.12388901,0
156833,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9564489,1
158251,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9551496,1
159174,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.02022879,0
161254,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.0033552882,0
163427,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.017579732,0
163735,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.10550211,0
166977,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.011723284,0
167509,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.082302555,0
167525,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.03583659,0
169252,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.025967475,0
170646,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.014290327,0
171127,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.96364534,1
176214,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.85299546,1
177743,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9918053,1
179793,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.054668467,0
180421,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.018868703,0
185865,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.9732048,1
186134,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.006013874,0
189819,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.018292056,0
190354,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.0052691135,0
191160,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.85593283,1
191700,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.057397194,0
195473,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.995011,1
196233,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.06980806,0
197347,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,0,0.08139574,0
198740,238,2021-07-24,2021-08-21,-2,2021-05-27,2021-06-24,1,treatment,1,0.94650835,1
