member_id,push_group,active_period_num,avg_days_from_push,same_day_wakeup,used_deeper_discount
645993.0,1,2,4.0,0,0
646621.0,1,2,1.0,0,0
648517.0,1,2,2.0,0,0
649935.0,1,2,4.0,0,0
650399.0,1,2,4.0,0,0
656672.0,1,2,5.0,0,0
657839.0,1,2,1.0,0,0
658268.0,1,2,13.0,0,0
662298.0,1,2,43.0,0,0
666216.0,1,2,1.0,0,0
668541.0,1,2,6.0,0,0
672603.0,1,2,4.0,0,0
673146.0,1,2,4.0,0,0
677507.0,1,2,1.0,0,0
680278.0,1,2,1.0,0,0
688039.0,1,2,4.0,0,0
692136.0,1,2,3.0,0,0
692348.0,1,2,3.0,0,0
693101.0,1,2,3.0,0,0
696732.0,1,2,10.0,0,0
696852.0,1,2,5.0,0,0
705937.0,1,2,8.0,0,0
706343.0,1,2,1.0,0,0
706469.0,1,2,3.0,0,0
707783.0,1,2,23.0,0,0
711278.0,1,2,4.0,0,0
712900.0,1,2,1.0,0,0
713393.0,1,2,6.0,0,0
721216.0,1,2,2.0,0,0
724366.0,1,2,2.0,0,0
726833.0,1,2,1.0,0,0
726842.0,1,2,3.0,0,0
727245.0,1,2,3.0,0,0
728792.0,1,2,4.0,0,0
729849.0,1,2,7.0,0,0
732472.0,1,2,1.0,0,0
732518.0,1,2,5.0,0,0
733117.0,1,2,21.0,0,0
739555.0,1,2,2.0,0,0
740408.0,1,2,2.0,0,0
740899.0,1,2,1.0,0,0
746779.0,1,2,1.0,0,0
748509.0,1,2,2.0,0,0
753235.0,1,2,4.0,0,0
754472.0,1,2,3.0,0,0
756249.0,1,2,3.0,0,0
759531.0,1,2,16.0,0,0
759598.0,1,2,3.0,0,0
760396.0,1,2,7.0,0,0
765691.0,1,2,27.0,0,0
769279.0,1,2,1.0,0,0
771736.0,1,2,5.0,0,0
777140.0,1,2,1.0,0,0
778795.0,1,2,20.0,0,0
789152.0,1,2,2.0,0,0
792503.0,1,2,4.0,0,0
800196.0,1,2,3.0,0,0
800553.0,1,2,1.0,0,0
802943.0,1,2,5.0,0,0
1854.0,1,3,2.0,0,0
6652.0,1,3,2.0,0,0
9119.0,1,3,4.0,0,0
9626.0,1,3,2.0,0,0
11830.0,1,3,4.0,0,0
21802.0,1,3,4.0,0,0
24099.0,1,3,2.0,0,0
28035.0,1,3,2.0,0,0
32268.0,1,3,3.0,0,0
49885.0,1,3,3.0,0,0
55923.0,1,3,4.0,0,0
67465.0,1,3,20.0,0,0
70643.0,1,3,3.0,0,0
72261.0,1,3,4.0,0,0
72369.0,1,3,3.0,0,0
72482.0,1,3,3.0,0,0
74187.0,1,3,4.0,0,0
83726.0,1,3,4.0,0,0
86316.0,1,3,3.0,0,0
88256.0,1,3,2.0,0,0
90675.0,1,3,1.0,0,0
96997.0,1,3,4.0,0,0
97506.0,1,3,3.0,0,0
119226.0,1,3,1.0,0,0
121975.0,1,3,3.0,0,0
124451.0,1,3,3.0,0,0
130838.0,1,3,1.0,0,0
136378.0,1,3,6.0,0,0
143007.0,1,3,1.0,0,0
144822.0,1,3,12.0,0,0
157995.0,1,3,8.0,0,0
158771.0,1,3,2.0,0,0
160370.0,1,3,2.0,0,0
163866.0,1,3,2.0,0,0
173096.0,1,3,3.0,0,0
184017.0,1,3,1.0,0,0
192350.0,1,3,4.0,0,0
194805.0,1,3,5.0,0,0
194865.0,1,3,1.0,0,0
201526.0,1,3,6.0,0,0
211328.0,1,3,2.0,0,0
219378.0,1,3,28.0,0,0
230671.0,1,3,4.0,0,0
237795.0,1,3,3.0,0,0
245959.0,1,3,7.0,0,0
259804.0,1,3,1.0,0,0
267717.0,1,3,43.0,0,0
267961.0,1,3,2.0,0,0
272472.0,1,3,24.0,0,0
276525.0,1,3,1.0,0,0
277372.0,1,3,5.0,0,0
282594.0,1,3,2.0,0,0
290027.0,1,3,5.0,0,0
306206.0,1,3,6.0,0,0
309951.0,1,3,1.0,0,0
310288.0,1,3,1.0,0,0
316722.0,1,3,31.0,0,0
326629.0,1,3,1.0,0,0
327499.0,1,3,17.0,0,0
328104.0,1,3,1.0,0,0
339797.0,1,3,3.0,0,0
339857.0,1,3,6.0,0,0
347919.0,1,3,5.0,0,0
360643.0,1,3,10.0,0,0
371444.0,1,3,5.0,0,0
384430.0,1,3,1.0,0,0
387431.0,1,3,2.0,0,0
389648.0,1,3,3.0,0,0
393022.0,1,3,3.0,0,0
395173.0,1,3,3.0,0,0
400264.0,1,3,3.0,0,0
401470.0,1,3,11.0,0,0
402137.0,1,3,1.0,0,0
