treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
1,"1|(30111.25, 40148.0]|(30111.25, 40148.0]|(0.999, 10037.75]|(20074.5, 30111.25]",53,68,53,1,,,,,,
1,"1|(20074.5, 30111.25]|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]",10,57,10,1,,,,,,
1,"1|(20074.5, 30111.25]|(30111.25, 40148.0]|(10037.75, 20074.5]|(20074.5, 30111.25]",11,29,11,1,,,,,,
1,"1|(10037.75, 20074.5]|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]",6,30,6,1,,,,,,
1,"1|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]|(20074.5, 30111.25]",15,13,13,1,,,,,,
1,"1|(20074.5, 30111.25]|(0.999, 10037.75]|(10037.75, 20074.5]|(30111.25, 40148.0]",26,5,5,1,,,,,,
1,"1|(30111.25, 40148.0]|(0.999, 10037.75]|(20074.5, 30111.25]|(10037.75, 20074.5]",0,3,0,0,,,,,,
1,"1|(30111.25, 40148.0]|(0.999, 10037.75]|(20074.5, 30111.25]|(20074.5, 30111.25]",0,12,0,0,,,,,,
1,"1|(30111.25, 40148.0]|(30111.25, 40148.0]|(0.999, 10037.75]|(10037.75, 20074.5]",3,4,3,1,,,,,,
1,"1|(20074.5, 30111.25]|(0.999, 10037.75]|(10037.75, 20074.5]|(0.999, 10037.75]",1,0,0,0,,,,,,
1,"1|(30111.25, 40148.0]|(30111.25, 40148.0]|(10037.75, 20074.5]|(20074.5, 30111.25]",2,3,2,1,,,,,,
1,"1|(20074.5, 30111.25]|(30111.25, 40148.0]|(10037.75, 20074.5]|(10037.75, 20074.5]",1,3,1,1,,,,,,
1,"1|(10037.75, 20074.5]|(20074.5, 30111.25]|(10037.75, 20074.5]|(10037.75, 20074.5]",5,19,5,1,,,,,,
1,"1|(20074.5, 30111.25]|(20074.5, 30111.25]|(10037.75, 20074.5]|(30111.25, 40148.0]",97,55,55,1,,,,,,
1,"1|(30111.25, 40148.0]|(20074.5, 30111.25]|(10037.75, 20074.5]|(30111.25, 40148.0]",93,25,25,1,,,,,,
1,"1|(30111.25, 40148.0]|(0.999, 10037.75]|(20074.5, 30111.25]|(30111.25, 40148.0]",7,4,4,1,,,,,,
1,"1|(20074.5, 30111.25]|(20074.5, 30111.25]|(0.999, 10037.75]|(30111.25, 40148.0]",61,33,33,1,,,,,,
1,"1|(10037.75, 20074.5]|(20074.5, 30111.25]|(10037.75, 20074.5]|(20074.5, 30111.25]",31,82,31,1,,,,,,
1,"1|(10037.75, 20074.5]|(0.999, 10037.75]|(10037.75, 20074.5]|(20074.5, 30111.25]",8,5,5,1,,,,,,
1,"1|(10037.75, 20074.5]|(0.999, 10037.75]|(20074.5, 30111.25]|(20074.5, 30111.25]",19,25,19,1,,,,,,
1,"1|(30111.25, 40148.0]|(20074.5, 30111.25]|(0.999, 10037.75]|(30111.25, 40148.0]",37,16,16,1,,,,,,
1,"1|(10037.75, 20074.5]|(20074.5, 30111.25]|(0.999, 10037.75]|(20074.5, 30111.25]",16,36,16,1,,,,,,
1,"1|(30111.25, 40148.0]|(20074.5, 30111.25]|(10037.75, 20074.5]|(20074.5, 30111.25]",19,22,19,1,,,,,,
1,"1|(20074.5, 30111.25]|(0.999, 10037.75]|(20074.5, 30111.25]|(30111.25, 40148.0]",14,11,11,1,,,,,,
1,"1|(20074.5, 30111.25]|(20074.5, 30111.25]|(10037.75, 20074.5]|(20074.5, 30111.25]",37,131,37,1,,,,,,
1,"1|(20074.5, 30111.25]|(20074.5, 30111.25]|(0.999, 10037.75]|(20074.5, 30111.25]",6,24,6,1,,,,,,
1,"1|(10037.75, 20074.5]|(20074.5, 30111.25]|(0.999, 10037.75]|(10037.75, 20074.5]",4,17,4,1,,,,,,
1,"1|(10037.75, 20074.5]|(0.999, 10037.75]|(30111.25, 40148.0]|(10037.75, 20074.5]",0,9,0,0,,,,,,
